MedCodeId,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,EmisCodeCategoryId
459785017,9SJ,9SJ..00,Ethnic group,372148003,1210724015,22
1780408016,9S14,9S14.00,Other white British ethnic group,401214002,1780408016,22
136081000000111,9iA4,9iA4.00,Sri Lankan - ethnic category 2001 census,86461000000107,136081000000111,22
138171000000114,9i2C,9i2C.00,Irish Traveller - ethnic category 2001 census,88911000000101,138171000000114,22
138181000000111,9i2D,9i2D.00,Traveller - ethnic category 2001 census,88921000000107,138181000000111,22
138191000000113,9i2E,9i2E.00,Gypsy/Romany - ethnic category 2001 census,88931000000109,138191000000113,22
138201000000110,9i2F,9i2F.00,Polish - ethnic category 2001 census,88941000000100,138201000000110,22
138231000000116,9i2K,9i2K.00,Albanian - ethnic category 2001 census,88971000000106,138231000000116,22
138241000000113,9iF6,9iF6.00,Jewish - ethnic category 2001 census,88991000000105,138241000000113,22
138251000000111,9iF9,9iF9.00,Arab - ethnic category 2001 census,89001000000105,138251000000111,22
138261000000114,9iFD,9iFD.00,Iranian - ethnic category 2001 census,89011000000107,138261000000114,22
138271000000119,9iFH,9iFH.00,South and Central American - ethnic category 2001 census,89021000000101,138271000000119,22
138281000000117,9iF7,9iF7.00,Muslim - ethnic category 2001 census,89031000000104,138281000000117,22
141291000000111,9i,9i...00,Ethnic category - 2001 census,92381000000106,141291000000111,22
141301000000110,9i1,9i1..00,Irish - ethnic category 2001 census,92401000000106,141301000000110,22
141311000000112,9i2,9i2..00,Other White background - ethnic category 2001 census,92411000000108,141311000000112,22
141321000000118,9i3,9i3..00,White and Black Caribbean - ethnic category 2001 census,92421000000102,141321000000118,22
141331000000116,9i4,9i4..00,White and Black African - ethnic category 2001 census,92431000000100,141331000000116,22
141341000000113,9i5,9i5..00,White and Asian - ethnic category 2001 census,92441000000109,141341000000113,22
141351000000111,9i6,9i6..00,Other Mixed background - ethnic category 2001 census,92451000000107,141351000000111,22
141361000000114,9i8,9i8..00,Pakistani or British Pakistani - ethnic category 2001 census,92461000000105,141361000000114,22
141381000000117,9iA,9iA..00,Other Asian background - ethnic category 2001 census,92481000000101,141381000000117,22
141391000000115,9iC,9iC..00,African - ethnic category 2001 census,92491000000104,141391000000115,22
141401000000117,9iE,9iE..00,Chinese - ethnic category 2001 census,92511000000107,141401000000117,22
141411000000115,9iF,9iF..00,Other - ethnic category 2001 census,92521000000101,141411000000115,22
141421000000114,9iG,9iG..00,Ethnic category not stated - 2001 census,92531000000104,141421000000114,22
141431000000111,9i21,9i21.00,Scottish - ethnic category 2001 census,92541000000108,141431000000111,22
141441000000119,9i22,9i22.00,Welsh - ethnic category 2001 census,92551000000106,141441000000119,22
141451000000116,9i24,9i24.00,Northern Irish - ethnic category 2001 census,92561000000109,141451000000116,22
141461000000118,9i23,9i23.00,Cornish - ethnic category 2001 census,92571000000102,141461000000118,22
141471000000113,9i60,9i60.00,Black and Asian - ethnic category 2001 census,92581000000100,141471000000113,22
141481000000110,9i61,9i61.00,Black and Chinese - ethnic category 2001 census,92591000000103,141481000000110,22
141491000000112,9i63,9i63.00,Chinese and White - ethnic category 2001 census,92601000000109,141491000000112,22
141511000000116,9iA9,9iA9.00,Mixed Asian - ethnic category 2001 census,92631000000103,141511000000116,22
141521000000110,9iA1,9iA1.00,Punjabi - ethnic category 2001 census,92641000000107,141521000000110,22
141531000000112,9iA2,9iA2.00,Kashmiri - ethnic category 2001 census,92651000000105,141531000000112,22
141541000000115,9iA3,9iA3.00,East African Asian - ethnic category 2001 census,92661000000108,141541000000115,22
141551000000117,9iA5,9iA5.00,Tamil - ethnic category 2001 census,92671000000101,141551000000117,22
141561000000119,9iA8,9iA8.00,British Asian - ethnic category 2001 census,92681000000104,141561000000119,22
141571000000114,9iA7,9iA7.00,Caribbean Asian - ethnic category 2001 census,92691000000102,141571000000114,22
141591000000113,9iD0,9iD0.00,Somali - ethnic category 2001 census,92711000000100,141591000000113,22
141601000000119,9iD1,9iD1.00,Nigerian - ethnic category 2001 census,92731000000108,141601000000119,22
141621000000111,9iF0,9iF0.00,Vietnamese - ethnic category 2001 census,92751000000101,141621000000111,22
141631000000113,9iF1,9iF1.00,Japanese - ethnic category 2001 census,92761000000103,141631000000113,22
141641000000116,9iF2,9iF2.00,Filipino - ethnic category 2001 census,92771000000105,141641000000116,22
141651000000118,9iF3,9iF3.00,Malaysian - ethnic category 2001 census,92781000000107,141651000000118,22
141661000000115,9i26,9i26.00,Cypriot (part not stated) - ethnic category 2001 census,92791000000109,141661000000115,22
142691000000116,9i25,9i25.00,Ulster Scots - ethnic category 2001 census,93921000000101,142691000000116,22
142701000000116,9i27,9i27.00,Greek - ethnic category 2001 census,93931000000104,142701000000116,22
142711000000119,9i28,9i28.00,Greek Cypriot - ethnic category 2001 census,93941000000108,142711000000119,22
142721000000113,9i2A,9i2A.00,Turkish Cypriot - ethnic category 2001 census,93951000000106,142721000000113,22
142741000000118,9i2J,9i2J.00,Kosovan - ethnic category 2001 census,93981000000100,142741000000118,22
142751000000115,9i2L,9i2L.00,Bosnian - ethnic category 2001 census,93991000000103,142751000000115,22
142761000000117,9i2M,9i2M.00,Croatian - ethnic category 2001 census,94001000000108,142761000000117,22
142781000000114,9i2Q,9i2Q.00,Mixed Irish and other White - ethnic category 2001 census,94021000000104,142781000000114,22
142791000000111,9i2S,9i2S.00,Other mixed White - ethnic category 2001 census,94031000000102,142791000000111,22
142811000000112,9iFA,9iFA.00,North African - ethnic category 2001 census,94061000000107,142811000000112,22
142831000000116,9iFC,9iFC.00,Israeli - ethnic category 2001 census,94081000000103,142831000000116,22
142841000000113,9iFE,9iFE.00,Kurdish - ethnic category 2001 census,94091000000101,142841000000113,22
142851000000111,9iFF,9iFF.00,Moroccan - ethnic category 2001 census,94101000000109,142851000000111,22
142861000000114,9iFG,9iFG.00,Latin American - ethnic category 2001 census,94111000000106,142861000000114,22
142881000000117,9iF4,9iF4.00,Buddhist - ethnic category 2001 census,94131000000103,142881000000117,22
142891000000115,9iF8,9iF8.00,Sikh - ethnic category 2001 census,94141000000107,142891000000115,22
142901000000119,9iFK,9iFK.00,Any other group - ethnic category 2001 census,94151000000105,142901000000119,22
154401000000118,9iB,9iB..00,Caribbean - ethnic category 2001 census,107691000000105,154401000000118,22
156921000000110,9i29,9i29.00,Turkish - ethnic category 2001 census,110401000000103,156921000000110,22
157271000000119,9i7,9i7..00,Indian or British Indian - ethnic category 2001 census,110751000000108,157271000000119,22
157281000000117,9i20,9i20.00,English - ethnic category 2001 census,110761000000106,157281000000117,22
157291000000115,9i62,9i62.00,Black and White - ethnic category 2001 census,110771000000104,157291000000115,22
157301000000116,9iA6,9iA6.00,Sinhalese - ethnic category 2001 census,110781000000102,157301000000116,22
157311000000119,9iD2,9iD2.00,Black British - ethnic category 2001 census,110791000000100,157311000000119,22
157351000000115,9iF5,9iF5.00,Hindu - ethnic category 2001 census,110831000000107,157351000000115,22
157991000000110,9i2N,9i2N.00,Serbian - ethnic category 2001 census,88981000000108,157991000000110,22
158341000000117,9i0,9i0..00,British or mixed British - ethnic category 2001 census,92391000000108,158341000000117,22
158351000000119,9iD,9iD..00,Other Black background - ethnic category 2001 census,92501000000105,158351000000119,22
158361000000116,9i64,9i64.00,Asian and Chinese - ethnic category 2001 census,92611000000106,158361000000116,22
158371000000111,9iD3,9iD3.00,Mixed Black - ethnic category 2001 census,92721000000106,158371000000111,22
158481000000115,9i2B,9i2B.00,Italian - ethnic category 2001 census,93961000000109,158481000000115,22
308131000000114,916E,916E.00,Patient ethnicity unknown,202171000000101,308131000000114,22
649261000006110,9S,9S...00,Ethnic group finding,397731000,1777341010,22
937301000006110,9i2G,9i2G.00,Baltic States (Estonian or Latvian or Lithuanian) - ethnic category 2001 census,88951000000102,138211000000112,22
937311000006113,9i2H,9i2H.00,Commonwealth of (Russian) Independent States - ethnic category 2001 census,88961000000104,138221000000118,22
937371000006116,9i2P,9i2P.00,Other republics which made up the former Yugoslavia - ethnic category 2001 census,94011000000105,142771000000112,22
937391000006115,9i2R,9i2R.00,Other White European or European unspecified or Mixed European - ethnic category 2001 census,94041000000106,142801000000110,22
937411000006115,9i2T,9i2T.00,Other White or White unspecified - ethnic category 2001 census,94051000000109,158491000000118,22
937511000006119,9i65,9i65.00,Other Mixed or Mixed unspecified - ethnic category 2001 census,92621000000100,141501000000118,22
937541000006115,9i9,9i9..00,Bangladeshi or British Bangladeshi - ethnic category 2001 census,92471000000103,141371000000119,22
937651000006117,9iAA,9iAA.00,Other Asian or Asian unspecified - ethnic category 2001 census,92701000000102,141581000000111,22
